rank,mmsi,total_records,anomaly_records,anomaly_rate,max_anomaly_score,mean_anomaly_score,max_heading_cog_diff,mean_heading_cog_diff,mean_sog,max_sog,length,width,draught,vessel_risk_score
1,219775000,429,23,5.361305361305361,0.1381511202777788,0.04826728675200524,130.7,25.952173913043477,4.77391304347826,12.0,147.0,22.0,7.1,0.9048049030086478
2,266465000,446,14,3.1390134529147984,0.1361265413596991,0.044697970240146205,175.39999999999998,29.007142857142856,5.164285714285714,14.5,120.0,19.0,7.8,0.8270227561231238
3,219011922,345,10,2.898550724637681,0.1513078806344423,0.053459331092076644,142.6,30.35,4.45,11.1,83.0,13.0,4.2,0.7848301034609527
4,219355000,398,15,3.7688442211055273,0.1374571336787446,0.05018410897403507,106.0,27.4,5.266666666666667,9.7,93.0,14.0,5.4,0.7648784931449681
5,265012140,156,18,11.538461538461538,0.130537810118577,0.05871296600973376,77.5,27.883333333333336,4.172222222222222,9.7,100.0,19.0,5.7,0.7499557996077086
6,538006204,15,7,46.666666666666664,0.1399370017194572,0.08822506614228219,158.0,79.85714285714286,2.457142857142857,9.7,249.0,44.0,12.4,0.7240767826008592
7,265610040,402,10,2.4875621890547266,0.1406633408895686,0.08740207533297102,119.0,58.739999999999995,2.57,6.5,80.0,13.0,6.1,0.7223293850561664
8,257667000,130,6,4.615384615384616,0.1437003469150652,0.03848716103322967,157.5,37.03333333333333,7.766666666666667,12.4,144.0,23.0,6.5,0.7223193259002595
9,266466000,375,8,2.1333333333333333,0.1313740540584902,0.062002766358390846,90.0,24.5,4.1125,10.4,129.0,21.0,6.6,0.6308026350368107
10,215211000,219,3,1.36986301369863,0.1323823753112027,0.05020863500317533,121.89999999999998,46.5,4.666666666666667,10.9,104.0,17.0,6.1,0.6028156507243096
