mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught,heading_cog_diff,anomaly,is_anomaly,anomaly_score
219002409,Unknown value,0.0,0.0,,Fishing,5.0,15.0,,,1,0,-0.016867183721923307
265621730,Unknown value,0.0,268.0,,Sailing,3.0,10.0,,,-1,1,0.004929737818782365
219000217,Moored,0.0,20.2,,Military,9.0,54.0,3.6,,1,0,-0.04198288567138786
219026076,Unknown value,0.0,179.3,,Pleasure,3.0,9.0,,,1,0,-0.019363205148228757
219017202,Unknown value,0.0,26.6,,Pleasure,3.0,9.0,,,-1,1,0.004433933673070323
219025221,Under way using engine,7.1,161.8,165.0,Tug,8.0,26.0,4.2,3.1999999999999886,1,0,-0.12439400252365829
219022614,Unknown value,0.0,,,Pleasure,5.0,15.0,,,1,0,-0.04983415257790569
248562000,Under way using engine,16.4,208.8,212.0,Cargo,25.0,193.0,5.6,3.1999999999999886,1,0,-0.10720158822599524
209488000,Under way using engine,11.4,159.3,157.0,Cargo,13.0,89.0,3.8,2.3000000000000114,1,0,-0.18512887315720938
265041000,Under way using engine,9.0,262.0,264.0,Passenger,28.0,111.0,5.0,2.0,1,0,-0.12395942289470546
219355000,Under way using engine,9.4,317.0,316.0,Tanker,14.0,93.0,5.8,1.0,1,0,-0.16466315088199707
566579000,Under way using engine,12.7,135.3,137.0,Tanker,28.0,184.0,7.6,1.6999999999999886,1,0,-0.13808464192034886
266273000,Under way using engine,9.1,180.0,180.0,Tanker,24.0,156.0,9.0,0.0,1,0,-0.11838061307205983
305662000,Under way using engine,8.6,344.9,345.0,Cargo,14.0,90.0,6.1,0.10000000000002274,1,0,-0.1414846642325182
304021000,Under way using engine,10.9,194.3,192.0,Cargo,12.0,82.0,4.7,2.3000000000000114,1,0,-0.17512327470715588
209488000,Under way using engine,11.8,157.1,158.0,Cargo,13.0,89.0,3.8,0.9000000000000057,1,0,-0.1817498139077226
219355000,Under way using engine,9.5,318.0,316.0,Tanker,14.0,93.0,5.8,2.0,1,0,-0.1638941631391762
218728000,Under way using engine,9.5,160.7,163.0,Cargo,12.0,60.0,3.8,2.3000000000000114,1,0,-0.16886358758947034
248562000,Under way using engine,16.0,210.1,213.0,Cargo,25.0,193.0,5.6,2.9000000000000057,1,0,-0.1119661151488614
219025221,Under way using engine,6.9,164.4,167.0,Tug,8.0,26.0,4.2,2.5999999999999943,1,0,-0.1274489634546172
266466000,Under way using engine,12.2,160.0,163.0,Tanker,21.0,129.0,7.9,3.0,1,0,-0.1604890817847352
266476000,Moored,12.0,68.0,59.0,Tanker,17.0,119.0,6.7,9.0,1,0,-0.08905291127839621
566579000,Under way using engine,12.8,134.7,137.0,Tanker,28.0,184.0,7.6,2.3000000000000114,1,0,-0.13724317663766766
218728000,Under way using engine,9.6,158.5,162.0,Cargo,12.0,60.0,3.8,3.5,1,0,-0.16393130709043863
