rank,mmsi,anomaly_records,max_anomaly_score,mean_anomaly_score,max_heading_cog_diff,mean_heading_cog_diff,mean_sog,max_sog,length,width,draught,vessel_risk_score
1,219775000,23,0.13815112027777887,0.04826728675200529,130.7,25.952173913043477,4.77391304347826,12.0,147.0,22.0,7.1,0.9048049030086478
2,266465000,14,0.13612654135969915,0.04469797024014626,175.39999999999998,29.007142857142856,5.164285714285714,14.5,120.0,19.0,7.8,0.8270227561231238
3,219011922,10,0.15130788063444234,0.0534593310920767,142.6,30.35,4.45,11.1,83.0,13.0,4.2,0.7848301034609527
4,219355000,15,0.13745713367874468,0.05018410897403513,106.0,27.4,5.266666666666667,9.7,93.0,14.0,5.4,0.7648784931449681
5,265012140,18,0.130537810118577,0.05871296600973381,77.5,27.883333333333336,4.172222222222222,9.7,100.0,19.0,5.7,0.7499557996077086
6,538006204,7,0.13993700171945722,0.08822506614228222,158.0,79.85714285714286,2.457142857142857,9.7,249.0,44.0,12.4,0.7240767826008592
7,265610040,10,0.14066334088956867,0.08740207533297106,119.0,58.739999999999995,2.57,6.5,80.0,13.0,6.1,0.7223293850561664
8,257667000,6,0.14370034691506528,0.03848716103322971,157.5,37.03333333333333,7.766666666666667,12.4,144.0,23.0,6.5,0.7223193259002595
9,266466000,8,0.13137405405849023,0.0620027663583909,90.0,24.5,4.1125,10.4,129.0,21.0,6.6,0.6308026350368107
10,215211000,3,0.13238237531120278,0.05020863500317537,121.89999999999998,46.5,4.666666666666667,10.9,104.0,17.0,6.1,0.6028156507243096
11,229880000,2,0.14296133452357074,0.1006988048133145,96.0,54.25,0.15000000000000002,0.2,183.0,28.0,7.3,0.5942705607111938
12,266476000,12,0.10362677340954851,0.03360676347931916,42.0,10.166666666666666,8.141666666666667,14.2,119.0,17.0,7.1,0.5380457971260703
13,215909000,7,0.06912046269721239,0.027095318373552946,19.0,10.714285714285714,7.085714285714286,10.9,100.0,16.0,6.0,0.32907445110943667
14,244784000,5,0.06836045525904433,0.0330333462307022,30.099999999999994,14.860000000000005,4.24,8.3,99.0,16.0,6.5,0.31211106899752805
15,538005397,5,0.06614702008278983,0.03536324987651511,29.099999999999994,13.460000000000003,9.2,13.6,184.0,27.0,6.8,0.30362923523973345
16,538009153,3,0.07347078799028062,0.04957965118234109,20.69999999999999,16.03333333333333,4.2,5.6,250.0,44.0,8.8,0.2908926808024752
17,215516000,3,0.04826818121835863,0.01930162087970973,22.0,12.333333333333334,9.733333333333334,11.6,93.0,13.0,5.4,0.20897450903801804
18,220609000,2,0.04754298647962296,0.030072699411259618,19.0,12.5,4.0,8.0,91.0,15.0,6.5,0.1894715588186306
19,255806329,1,0.0415946262269804,0.0415946262269804,4.0,4.0,3.6,3.6,100.0,17.0,6.5,0.13881520281381432
20,257550000,3,0.0242860189185361,0.015454185024826206,7.699999999999989,5.59999999999999,8.9,13.6,129.0,20.0,6.4,0.11307172399427598
21,266454000,1,0.024511310636731065,0.024511310636731065,17.19999999999999,17.19999999999999,4.5,4.5,123.0,17.0,7.0,0.09752102269212051
22,636018579,1,0.026545024266490747,0.026545024266490747,4.599999999999994,4.599999999999994,5.1,5.1,250.0,44.0,8.5,0.08969452080338025
23,249557000,2,0.018515585544007118,0.013924882825316287,6.700000000000003,4.04999999999999,12.55,15.8,180.0,26.0,8.5,0.0791799239154161
24,538004172,1,0.022750739760737382,0.022750739760737382,4.0,4.0,3.9,3.9,250.0,44.0,12.2,0.07644226363245665
25,236514000,1,0.019894857698278923,0.019894857698278923,7.400000000000006,7.400000000000006,11.4,11.4,149.0,24.0,6.5,0.07091770837123453
26,248439000,2,0.012016403800775732,0.006976305848156894,7.5,6.75,7.6499999999999995,9.2,129.0,20.0,6.4,0.05859206564570499
27,566579000,2,0.004155064955471799,0.0028226997701183976,14.0,13.400000000000006,6.05,6.3,184.0,28.0,6.7,0.040081279424329125
28,538005799,1,0.00502381332621471,0.00502381332621471,16.3,16.3,13.1,13.1,100.0,17.0,5.0,0.03197788136548542
29,566577000,1,0.006393065210091753,0.006393065210091753,5.900000000000006,5.900000000000006,12.2,12.2,184.0,28.0,6.6,0.02449390586304813
30,249652000,1,0.003561328680279252,0.003561328680279252,6.700000000000003,6.700000000000003,6.8,6.8,180.0,27.0,8.3,0.01604522799316162
31,230689000,1,0.0008769975254176998,0.0008769975254176998,14.100000000000001,14.100000000000001,9.8,9.8,156.0,24.0,9.5,0.015710109285239766
32,266273000,1,0.004344883949947698,0.004344883949947698,2.299999999999997,2.299999999999997,4.9,4.9,156.0,24.0,9.0,0.013555015812000129
33,215760000,1,0.0006792414180502027,0.0006792414180502027,4.800000000000011,4.800000000000011,6.7,6.7,129.0,21.0,6.2,0.004310306011973332
34,538008784,1,0.0002496916700590601,0.0002496916700590601,5.0,5.0,14.7,14.7,274.0,50.0,9.4,0.003119584055459276
