mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219002409,Unknown value,0.0,0.0,,Fishing,5.0,15.0,
265621730,Unknown value,0.0,268.0,,Sailing,3.0,10.0,
219000217,Moored,0.0,20.2,,Military,9.0,54.0,3.6
219026076,Unknown value,0.0,179.3,,Pleasure,3.0,9.0,
219017202,Unknown value,0.0,26.6,,Pleasure,3.0,9.0,
219025221,Under way using engine,7.1,161.8,165.0,Tug,8.0,26.0,4.2
219022614,Unknown value,0.0,,,Pleasure,5.0,15.0,
248562000,Under way using engine,16.4,208.8,212.0,Cargo,25.0,193.0,5.6
209488000,Under way using engine,11.4,159.3,157.0,Cargo,13.0,89.0,3.8
265041000,Under way using engine,9.0,262.0,264.0,Passenger,28.0,111.0,5.0
219355000,Under way using engine,9.4,317.0,316.0,Tanker,14.0,93.0,5.8
566579000,Under way using engine,12.7,135.3,137.0,Tanker,28.0,184.0,7.6
266273000,Under way using engine,9.1,180.0,180.0,Tanker,24.0,156.0,9.0
305662000,Under way using engine,8.6,344.9,345.0,Cargo,14.0,90.0,6.1
304021000,Under way using engine,10.9,194.3,192.0,Cargo,12.0,82.0,4.7
209488000,Under way using engine,11.8,157.1,158.0,Cargo,13.0,89.0,3.8
219355000,Under way using engine,9.5,318.0,316.0,Tanker,14.0,93.0,5.8
218728000,Under way using engine,9.5,160.7,163.0,Cargo,12.0,60.0,3.8
248562000,Under way using engine,16.0,210.1,213.0,Cargo,25.0,193.0,5.6
219025221,Under way using engine,6.9,164.4,167.0,Tug,8.0,26.0,4.2
266466000,Under way using engine,12.2,160.0,163.0,Tanker,21.0,129.0,7.9
266476000,Moored,12.0,68.0,59.0,Tanker,17.0,119.0,6.7
566579000,Under way using engine,12.8,134.7,137.0,Tanker,28.0,184.0,7.6
218728000,Under way using engine,9.6,158.5,162.0,Cargo,12.0,60.0,3.8
266466000,Under way using engine,12.1,162.0,163.0,Tanker,21.0,129.0,7.9
266476000,Moored,11.4,328.0,334.0,Tanker,17.0,119.0,6.7
248562000,Under way using engine,15.6,214.5,219.0,Cargo,25.0,193.0,5.6
566579000,Under way using engine,12.7,133.6,137.0,Tanker,28.0,184.0,7.6
209488000,Under way using engine,12.3,152.8,155.0,Cargo,13.0,89.0,3.8
305662000,Under way using engine,8.4,345.2,345.0,Cargo,14.0,90.0,6.1
219355000,Under way using engine,9.7,319.0,316.0,Tanker,14.0,93.0,5.8
266273000,Under way using engine,8.7,205.9,204.0,Tanker,24.0,156.0,9.0
248562000,Under way using engine,15.6,241.7,244.0,Cargo,25.0,193.0,5.6
248562000,Under way using engine,15.5,242.7,245.0,Cargo,25.0,193.0,5.6
265650970,Under way using engine,22.9,169.2,171.0,HSC,8.0,27.0,1.7
266273000,Under way using engine,8.6,205.3,204.0,Tanker,24.0,156.0,9.0
209488000,Under way using engine,12.0,155.0,154.0,Cargo,13.0,89.0,3.8
566579000,Under way using engine,12.5,131.9,138.0,Tanker,28.0,184.0,7.6
266466000,Under way using engine,12.0,161.0,162.0,Tanker,21.0,129.0,7.9
219355000,Under way using engine,9.6,317.0,316.0,Tanker,14.0,93.0,5.8
218728000,Under way using engine,9.6,147.8,148.0,Cargo,12.0,60.0,3.8
248562000,Under way using engine,15.7,243.9,245.0,Cargo,25.0,193.0,5.6
266476000,Moored,11.5,327.0,329.0,Tanker,17.0,119.0,6.7
266476000,Moored,11.6,327.0,329.0,Tanker,17.0,119.0,6.7
566579000,Under way using engine,12.7,137.9,142.0,Tanker,28.0,184.0,7.6
218728000,Under way using engine,9.5,148.1,147.0,Cargo,12.0,60.0,3.8
219025221,Under way using engine,7.2,165.6,166.0,Tug,8.0,26.0,4.2
209488000,Under way using engine,12.1,153.2,153.0,Cargo,13.0,89.0,3.8
219355000,Under way using engine,9.5,304.0,306.0,Tanker,14.0,93.0,5.8
248562000,Under way using engine,15.9,244.6,245.0,Cargo,25.0,193.0,5.6
566579000,Under way using engine,12.9,138.8,142.0,Tanker,28.0,184.0,7.6
266466000,Under way using engine,12.2,161.0,161.0,Tanker,21.0,129.0,7.9
305662000,Under way using engine,8.5,349.1,347.0,Cargo,14.0,90.0,6.1
266466000,Under way using engine,12.3,161.0,162.0,Tanker,21.0,129.0,7.9
209488000,Under way using engine,12.3,152.9,154.0,Cargo,13.0,89.0,3.8
248562000,Under way using engine,16.9,245.0,245.0,Cargo,25.0,193.0,5.6
266273000,Under way using engine,9.0,231.2,230.0,Tanker,24.0,156.0,9.0
248562000,Under way using engine,16.2,241.8,244.0,Cargo,25.0,193.0,5.6
266476000,Under way using engine,11.5,342.0,351.0,Tanker,17.0,119.0,6.2
266476000,Under way using engine,11.4,343.0,351.0,Tanker,17.0,119.0,6.2
266466000,Under way using engine,11.6,208.0,210.0,Tanker,21.0,129.0,7.9
